group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
7,RP13-317D12.3,-0.03755761,1.1152028,0.9700404082425609,0.9893323898445292,1.0,1.0
7,OTOA,-0.03755761,1.1094545,0.9700404082425609,0.9893323898445292,1.0,1.0
7,LINC01374,-0.03755761,1.0977618,0.9700404082425609,0.9893323898445292,1.0,1.0
7,TONSL,-0.03755761,1.109648,0.9700404082425609,0.9893323898445292,1.0,1.0
7,RP11-388M20.1,-0.03755761,1.1249218,0.9700404082425609,0.9893323898445292,1.0,1.0
7,CHRM3-AS2,-0.03755761,1.1234617,0.9700404082425609,0.9893323898445292,1.0,1.0
7,AC108488.4,-0.03755761,1.1498325,0.9700404082425609,0.9893323898445292,1.0,1.0
7,LRRC24,-0.03755761,1.1182427,0.9700404082425609,0.9893323898445292,1.0,1.0
7,RP11-347C12.1,-0.03755761,1.1453735,0.9700404082425609,0.9893323898445292,1.0,1.0
7,RP11-737O24.5,-0.03755761,1.1220554,0.9700404082425609,0.9893323898445292,1.0,1.0
7,GATA2-AS1,-0.03755761,1.1098655,0.9700404082425609,0.9893323898445292,1.0,1.0
7,RP11-793H13.3,-0.03755761,1.1167239,0.9700404082425609,0.9893323898445292,1.0,1.0
7,BEX1,-0.03755761,1.1157925,0.9700404082425609,0.9893323898445292,1.0,1.0
7,RP11-572O17.1,-0.03755761,1.1825035,0.9700404082425609,0.9893323898445292,1.0,1.0
7,CCDC96,-0.03755761,1.1270738,0.9700404082425609,0.9893323898445292,1.0,1.0
7,DCAF4L1,-0.03755761,1.1142225,0.9700404082425609,0.9893323898445292,1.0,1.0
7,AC003991.3,-0.03755761,1.1035765,0.9700404082425609,0.9893323898445292,1.0,1.0
7,FOXB1,-0.03755761,1.111514,0.9700404082425609,0.9893323898445292,1.0,1.0
7,RP11-3P17.4,-0.03755761,1.1063153,0.9700404082425609,0.9893323898445292,1.0,1.0
7,SLC26A4,-0.03755761,1.1184889,0.9700404082425609,0.9893323898445292,1.0,1.0
7,RP11-325F22.2,-0.03755761,1.1093296,0.9700404082425609,0.9893323898445292,1.0,1.0
7,CRYGS,-0.03755761,1.1244764,0.9700404082425609,0.9893323898445292,1.0,1.0
7,MECOM,-0.03755761,1.1156583,0.9700404082425609,0.9893323898445292,1.0,1.0
7,RP11-362A9.3,-0.03755761,1.102495,0.9700404082425609,0.9893323898445292,1.0,1.0
7,PDE6G,-0.03755761,1.1238104,0.9700404082425609,0.9893323898445292,1.0,1.0
7,CNKSR2,-0.03755761,1.1507416,0.9700404082425609,0.9893323898445292,1.0,1.0
7,GATA1,-0.03755761,1.1000023,0.9700404082425609,0.9893323898445292,1.0,1.0
7,TMEM213,-0.03755761,1.1182263,0.9700404082425609,0.9893323898445292,1.0,1.0
7,RP11-1143G9.5,-0.03755761,1.1223332,0.9700404082425609,0.9893323898445292,1.0,1.0
7,SMG8,-0.03755761,1.1220614,0.9700404082425609,0.9893323898445292,1.0,1.0
7,RP11-430H10.1,-0.03755761,1.1371039,0.9700404082425609,0.9893323898445292,1.0,1.0
7,MS4A3,-0.03755761,1.0939704,0.9700404082425609,0.9893323898445292,1.0,1.0
7,ADARB2,-0.03755761,1.1133066,0.9700404082425609,0.9893323898445292,1.0,1.0
7,TLDC2,-0.03755761,1.1521771,0.9700404082425609,0.9893323898445292,1.0,1.0
7,MFAP3,-0.03755761,1.1315076,0.9700404082425609,0.9893323898445292,1.0,1.0
7,CACNA1I,-0.03755761,1.1276199,0.9700404082425609,0.9893323898445292,1.0,1.0
7,CCDC24,-0.03755761,1.1401898,0.9700404082425609,0.9893323898445292,1.0,1.0
7,RP11-950C14.3,-0.03755761,1.1125752,0.9700404082425609,0.9893323898445292,1.0,1.0
7,MAP3K9,-0.03755761,1.1215585,0.9700404082425609,0.9893323898445292,1.0,1.0
7,LINC00402,-0.03755761,1.0942618,0.9700404082425609,0.9893323898445292,1.0,1.0
7,MRPL38,-0.03755761,1.0953974,0.9700404082425609,0.9893323898445292,1.0,1.0
7,RP1-267L14.6,-0.03755761,1.1225188,0.9700404082425609,0.9893323898445292,1.0,1.0
7,RP11-7F17.5,-0.03755761,1.1264808,0.9700404082425609,0.9893323898445292,1.0,1.0
7,KCNJ5,-0.03755761,1.1074368,0.9700404082425609,0.9893323898445292,1.0,1.0
7,IDI2-AS1,-0.03755761,1.103814,0.9700404082425609,0.9893323898445292,1.0,1.0
7,UBXN10-AS1,-0.04131337,1.2234353,0.9670460757069544,0.9893323898445292,1.0,1.0
7,MCM3AP-AS1,-0.04131337,1.1866287,0.9670460757069544,0.9893323898445292,1.0,1.0
7,CTD-2031P19.5,-0.04131337,1.1829292,0.9670460757069544,0.9893323898445292,1.0,1.0
7,CRHBP,-0.04131337,1.2064205,0.9670460757069544,0.9893323898445292,1.0,1.0
7,DACH1,-0.04131337,1.1938114,0.9670460757069544,0.9893323898445292,1.0,1.0
7,RP11-557H15.4,-0.04131337,1.1787262,0.9670460757069544,0.9893323898445292,1.0,1.0
7,RPS6KL1,-0.04131337,1.1863153,0.9670460757069544,0.9893323898445292,1.0,1.0
7,KIAA0125,-0.04131337,1.190291,0.9670460757069544,0.9893323898445292,1.0,1.0
7,LSINCT5,-0.04131337,1.1855568,0.9670460757069544,0.9893323898445292,1.0,1.0
7,ADGRG6,-0.04131337,1.1914397,0.9670460757069544,0.9893323898445292,1.0,1.0
7,AC007620.3,-0.04131337,1.1908314,0.9670460757069544,0.9893323898445292,1.0,1.0
7,RP11-306G20.1,-0.04131337,1.211348,0.9670460757069544,0.9893323898445292,1.0,1.0
7,ZNF718,-0.04131337,1.1898474,0.9670460757069544,0.9893323898445292,1.0,1.0
7,RP11-573D15.2,-0.04131337,1.2169241,0.9670460757069544,0.9893323898445292,1.0,1.0
7,CHST13,-0.04131337,1.2050961,0.9670460757069544,0.9893323898445292,1.0,1.0
7,ZNF671,-0.04131337,1.2169567,0.9670460757069544,0.9893323898445292,1.0,1.0
