group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
8,ANXA1,6.678083,1.582975,2.4208836816999515e-11,1.047032192335229e-08,0.875,0.6090604026845637
8,RPSA,6.659332,0.95893556,2.7507490843893376e-11,1.1557075795984344e-08,0.8928571428571429,0.7855145413870246
8,ANKRD28,6.627353,2.5806663,3.417595981885504e-11,1.3369744167520313e-08,0.7142857142857143,0.3017337807606264
8,SRGN,6.6257477,2.358141,3.454949189838639e-11,1.3369744167520313e-08,0.8928571428571429,0.4381991051454139
8,MYL12A,6.55768,1.1243238,5.4651333310846015e-11,2.0606355290666427e-08,0.9107142857142857,0.7541946308724832
8,TMSB4X,6.416215,0.37981942,1.3970432835815963e-10,5.0106149963578953e-08,1.0,0.9946868008948546
8,HLA-A,6.398106,1.0366322,1.5731587118657675e-10,5.5079282995205027e-08,0.9642857142857143,0.8028523489932886
8,CXCR4,6.3873825,2.4782078,1.687493783252483e-10,5.639680927892673e-08,0.8035714285714286,0.3442393736017897
8,RPL3,6.3423676,0.5107644,2.2626043316923403e-10,7.39368815500797e-08,1.0,0.9644854586129754
8,RPL35A,6.3340197,0.5203719,2.3885481698499075e-10,7.635565399487585e-08,1.0,0.9605704697986577
8,RPL41,6.3180947,0.37493107,2.648080006254571e-10,8.285109891909248e-08,1.0,0.991331096196868
8,RPS18,6.2348723,0.36737105,4.521471853213374e-10,1.3851717416979722e-07,1.0,0.9930089485458613
8,RPS25,6.1793265,0.4542555,6.437569727861415e-10,1.9319278132286143e-07,0.9821428571428571,0.9633668903803132
8,CALM1,6.1625023,1.1956763,7.160439247473476e-10,2.0924125449787925e-07,0.8392857142857143,0.6719798657718121
8,RPS3,6.160383,0.5919424,7.256922121313731e-10,2.0924125449787925e-07,0.9821428571428571,0.930648769574944
8,RPL10,6.1447144,0.3609523,8.010743166422713e-10,2.265345735812423e-07,1.0,0.9930089485458613
8,RPL18A,6.1213403,0.48527846,9.279144062250708e-10,2.5745247817999366e-07,1.0,0.970917225950783
8,TMSB10,6.087114,0.40582678,1.1496419010821453e-09,3.098467773509493e-07,0.9821428571428571,0.968400447427293
8,RPL12,6.0858297,0.38821357,1.1588964810814152e-09,3.098467773509493e-07,0.9821428571428571,0.973434004474273
8,RPS27,6.009735,0.33258584,1.858267571047658e-09,4.879611541474252e-07,1.0,0.9983221476510067
9,XCL1,10.142517,8.867075,3.577614839110877e-24,5.2608826209125444e-20,0.8,0.007827788649706457
9,SRGN,9.728334,3.0481496,2.2830088986566965e-22,1.678582292737336e-18,0.9818181818181818,0.43695834498182834
9,CD69,9.508318,3.8206213,1.937702944918534e-21,9.497973935009014e-18,0.8909090909090909,0.2613922281241264
9,AREG,9.312921,5.4209695,1.2436454879689135e-20,4.571951725145718e-17,0.7636363636363637,0.08470785574503774
9,KLRB1,9.025008,5.0566525,1.7968266972897207e-19,5.284467316729068e-16,0.7818181818181819,0.08191221694157115
